Reaction test
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
697	104	83	94
698	95	105	115
699	16	37	27
700	45	65	55
701	38	28	48
702	74	83	65
703	37	58	48
704	58	67	48
705	93	103	113
706	98	88	79
707	54	44	64
708	40	30	49
709	104	84	94
710	87	16	6
711	88	79	69
712	62	71	52
713	88	7	18
714	62	71	53
715	60	70	80
716	99	89	108
717	21	11	30
718	72	81	62
719	86	96	106
720	21	30	11
721	100	108	203
722	36	26	45
723	98	107	88
724	52	43	33
725	40	49	30
726	60	80	70
727	83	62	73
728	82	72	91
729	49	29	39
730	17	37	28
731	49	39	59
732	103	94	84
733	85	74	94
734	81	90	72
735	13	23	33
736	48	58	68
737	41	20	31
738	92	83	73
739	98	89	78
740	90	8	81
741	62	41	52
742	19	28	9
743	104	95	85
744	100	90	81
745	60	50	69
746	97	88	106
747	63	72	54
748	42	52	62
749	37	16	27
750	75	85	95
751	51	41	61
752	84	105	95
753	40	19	30
754	103	94	84
755	51	41	60
756	66	45	56
757	85	106	96
758	11	32	22
759	50	71	61
760	57	37	47
761	79	88	69
762	34	25	43
763	68	58	77
764	43	53	63
765	52	42	61
766	83	93	103
767	80	90	100
768	28	19	9
769	65	55	74
770	92	82	101
771	89	7	80
772	96	105	86
773	53	43	63
774	84	93	74
775	49	39	58
776	64	74	84
777	45	35	26
778	85	106	96
779	24	15	5
780	73	83	93
781	75	54	65
782	90	111	101
783	50	60	69
784	82	61	72
785	71	61	52
786	79	69	88
787	48	69	59
788	60	50	70
789	88	78	97
790	79	88	69
791	39	30	20
792	77	86	67
793	61	71	81
794	45	66	56
795	43	34	24
796	45	55	65
797	111	91	101
798	112	103	93
799	28	18	37
800	92	102	112
801	99	108	89
802	27	7	17
803	99	108	90
804	100	90	109
805	86	77	67
806	67	87	77
807	45	25	36
808	65	44	55
809	83	104	94
810	83	74	64
811	63	53	44
812	76	97	87
813	78	68	88
814	9	76	19
815	62	51	71
816	72	62	81
817	36	26	45
818	64	74	84
819	65	85	75
820	87	96	78
821	80	100	90
822	75	65	84
823	23	43	33
824	110	90	100
825	6	74	85
826	30	9	20
827	70	61	51
828	57	46	66
829	23	33	43
830	54	34	44
831	24	45	35
832	66	56	75
833	93	72	83
834	71	61	52
835	69	90	80
836	16	6	79
837	10	20	30
838	60	81	71
839	48	38	57
840	103	112	94
841	62	52	72
842	106	85	96
843	75	65	84
844	64	74	84
845	67	56	76
846	90	80	8
847	69	79	89
848	15	5	78
849	49	59	69
850	98	88	107
851	50	59	40
852	5	15	25
853	26	5	16
854	43	64	54
855	34	54	44
856	91	81	9
857	63	53	73
858	9	30	20
859	88	68	78
860	84	74	93
861	69	79	89
862	90	80	100
863	103	112	93
864	92	102	112
865	80	70	89
866	66	75	57
867	82	91	72
