Reaction test
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
545	676	699	689
546	866	876	853
547	755	778	768
548	461	485	474
549	675	686	663
550	688	678	665
551	275	263	286
552	695	671	685
553	362	349	373
554	963	986	976
555	507	496	483
556	559	536	549
557	592	569	582
558	257	280	270
559	674	686	697
560	369	380	356
561	480	457	470
562	369	356	380
563	979	990	967
564	689	666	679
565	377	401	390
566	580	569	557
567	463	487	476
568	97	74	87
569	239	263	252
570	880	856	869
571	49	73	63
572	389	402	413
573	952	928	941
574	328	304	318
575	51	74	64
576	150	140	127
577	49	73	62
578	484	471	495
579	175	188	199
580	303	316	327
581	84	97	108
582	50	63	74
583	982	970	993
584	591	603	615
585	459	483	472
586	340	327	351
587	673	686	697
588	623	613	633
589	877	866	854
590	320	343	333
591	383	394	371
592	678	688	665
593	607	584	597
594	155	166	175
595	400	411	388
596	799	775	788
597	876	900	890
598	846	859	870
599	891	880	868
600	794	784	772
601	500	476	489
602	338	348	326
603	363	386	375
604	320	344	333
605	677	667	655
606	339	328	316
607	958	981	971
608	527	539	551
609	576	553	566
610	209	185	198
611	975	963	986
612	538	527	516
613	886	875	863
614	1005	22	10
615	938	925	949
616	124	137	148
617	563	586	576
618	517	530	541
619	555	567	578
620	26	49	39
621	102	113	90
622	120	97	110
623	922	909	933
624	77	65	88
625	265	288	278
626	390	378	401
627	826	815	803
628	387	375	399
629	547	558	535
630	782	771	759
631	792	779	803
632	933	945	956
633	247	260	271
634	681	670	658
635	402	379	391
636	282	272	260
637	381	369	392
638	651	640	628
639	583	594	571
640	491	501	478
641	441	429	453
642	596	585	573
643	138	126	150
644	272	284	295
645	70	93	83
646	597	574	587
647	338	348	325
648	583	560	573
649	599	587	610
650	569	581	592
651	621	608	632
652	863	886	876
653	169	182	193
654	700	689	677
655	577	590	601
656	710	686	699
657	475	464	452
658	268	292	281
659	75	52	65
660	586	596	574
661	73	50	63
662	996	986	974
663	693	704	681
664	875	887	898
665	875	887	898
666	589	579	567
667	246	234	257
668	950	973	963
669	527	514	538
670	154	167	178
671	763	786	776
672	236	225	213
673	389	402	413
674	870	884	895
675	783	773	761
676	272	295	285
677	221	231	209
678	48	36	60
679	478	491	502
680	166	189	178
681	878	889	866
682	513	503	491
683	780	767	791
684	97	86	74
685	555	532	545
686	122	110	134
687	548	560	571
688	789	777	800
689	868	855	879
690	421	431	408
691	402	379	392
692	990	1002	1013
693	130	119	107
694	682	659	672
695	486	475	463
696	349	372	362
697	298	274	288
698	86	97	74
699	945	968	958
700	386	362	375
701	288	276	299
702	861	872	849
703	218	205	229
704	468	491	481
705	917	927	905
706	879	868	856
707	784	795	772
708	674	663	651
709	529	506	519
710	270	247	260
711	850	873	863
712	679	656	669
713	784	773	761
714	655	667	678
715	83	60	73
716	510	487	500
717	23	33	11
718	479	492	503
719	520	509	497
720	680	669	657
721	326	303	315
722	364	375	353
723	37	49	60
724	556	566	543
725	432	445	456
726	523	500	513
727	2605	2614	2595
728	723	712	700
729	466	441	455
730	769	758	745
731	948	961	972
732	828	815	839
733	769	758	745
734	629	642	653
735	947	971	960
736	556	541	565
737	164	151	175
738	115	139	129
739	860	850	869
740	3707	3698	3687
741	752	728	742
742	180	158	170
743	575	555	566
744	900	877	890
745	327	302	316
746	565	574	555
747	307	297	287
748	382	373	363
749	2705	2659	2649
750	284	293	273
751	135	114	125
752	171	180	161
753	64	73	54
754	1015	7	1005
755	414	425	402
756	661	672	648
757	935	946	956
758	794	781	805
759	875	888	898
760	954	967	978
761	6975	6964	6984
762	814	827	838
763	120	133	144
764	988	975	999
765	622	635	646
766	983	970	994
767	768	756	779
768	153	166	177
769	951	964	975
770	577	565	589
771	275	262	286
772	522	511	531
773	578	565	589
774	145	158	169
775	424	437	448
776	779	766	790
777	548	558	536
778	437	416	427
779	3413	3435	3425
780	707	718	727
781	866	887	877
782	474	485	494
783	559	569	579
784	294	315	305
785	741	765	754
786	419	443	432
787	76	86	63
788	754	765	742
789	257	281	271
790	1020	997	1010
791	1006	982	996
792	84	97	108
793	28	41	52
794	387	411	400
795	301	277	290
796	385	374	362
797	681	657	670
798	283	296	307
799	735	722	746
800	740	763	753
801	377	390	401
802	881	891	868
803	85	62	75
804	125	149	138
805	686	676	663
806	683	671	695
807	156	146	133
808	874	851	864
809	416	393	406
810	254	277	267
811	664	687	677
812	57	45	68
813	1004	981	994
814	238	249	226
815	370	360	348
816	595	606	582
817	750	773	763
818	583	594	571
819	77	61	49
820	224	214	202
821	543	555	566
822	479	466	490
823	561	584	574
824	317	340	330
825	880	867	891
826	667	679	690
827	274	261	285
828	625	648	638
829	283	293	270
830	620	631	608
831	985	974	963
832	658	646	669
833	850	862	873
834	553	540	564
835	69	80	57
836	965	977	988
837	36	49	60
838	451	475	464
839	285	273	296
840	563	586	576
841	759	747	770
842	368	355	379
843	345	322	335
844	443	466	456
845	690	667	679
846	757	746	734
847	963	976	987
848	105	115	93
849	584	607	596
850	214	203	191
851	462	450	473
852	931	954	944
853	59	48	36
854	907	894	918
855	955	966	943
856	268	293	283
857	22	35	46
858	706	695	683
859	274	286	297
860	319	331	343
861	653	641	665
862	294	317	307
863	772	783	760
864	76	87	64
865	995	1005	982
866	426	439	450
867	122	133	110
868	68	79	56
869	45	22	35
870	592	580	603
871	687	676	664
872	852	876	866
873	886	899	910
874	545	568	558
875	104	81	94
876	295	285	272
877	551	574	564
878	392	404	416
879	535	548	559
880	466	453	477
881	487	475	498
882	68	81	92
883	999	988	976
884	824	836	847
885	649	672	662
886	827	815	838
887	772	783	760
888	491	480	468
889	781	770	758
890	950	927	940
891	912	889	902
892	1002	1011	992
893	384	373	361
894	676	687	664
895	798	775	788
896	583	560	573
897	920	907	931
898	663	686	676
899	305	328	318
900	361	374	385
901	633	623	611
902	487	511	501
903	172	196	185
904	534	522	545
905	158	181	171
906	286	297	274
907	984	974	962
908	42	31	20
909	80	104	93
910	55	31	44
911	782	793	803
912	162	138	152
913	424	437	449
914	635	623	646
915	541	554	565
916	427	440	451
917	155	167	178
918	167	180	191
919	253	276	266
920	758	769	746
921	124	100	113
922	765	742	755
923	44	67	57
924	972	961	949
925	232	245	256
926	233	246	257
927	70	80	58
928	193	181	205
929	418	431	442
930	567	554	578
931	851	874	864
932	662	651	639
933	567	579	590
934	911	924	935
935	1000	989	977
936	404	416	428
937	204	180	193
938	761	750	738
939	163	186	176
940	470	493	482
941	185	208	198
942	337	314	327
943	726	715	703
944	181	158	171
945	552	575	565
946	478	468	456
947	69	58	46
948	129	139	116
949	185	175	162
950	993	981	1004
951	798	785	809
952	449	436	460
953	836	847	824
954	190	177	201
955	252	229	242
956	944	932	955
957	154	141	165
958	149	162	173
959	415	439	428
960	573	597	586
961	473	450	463
962	528	518	508
963	558	571	582
964	630	607	620
965	394	407	418
966	908	897	885
967	474	463	451
968	764	787	776
969	362	386	375
970	990	966	980
971	250	237	261
972	241	262	252
973	961	940	951
974	570	549	560
975	169	207	216
976	419	428	409
977	250	238	262
978	912	899	923
979	835	822	846
980	11	24	35
981	74	84	61
982	506	527	517
983	25	38	49
984	412	401	388
985	597	621	611
986	46	69	59
987	659	648	635
988	894	870	883
989	934	947	958
990	601	624	614
991	231	254	244
992	923	900	913
993	665	688	678
994	581	560	571
995	217	240	230
996	937	949	961
997	477	500	490
998	140	163	153
999	426	415	403
