Reaction test
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
601	31	12	21
602	9	18	28
603	8	22	37
604	20	11	29
605	7	21	38
606	22	12	30
607	10	40	25
608	7	35	22
609	11	30	20
610	11	30	20
611	8	37	21
612	12	21	31
613	8	31	21
614	32	8	22
615	7	18	32
616	9	18	28
617	29	19	10
618	31	11	21
619	25	9	37
620	19	10	30
621	6	31	21
622	35	8	20
623	28	8	18
624	33	6	22
625	6	21	36
626	11	32	20
627	31	12	21
628	39	23	9
629	21	12	30
630	28	19	10
631	28	9	18
632	8	20	33
633	20	11	29
634	11	30	20
635	9	18	27
636	12	21	31
637	11	20	30
638	18	9	27
639	10	29	19
640	20	31	6
641	7	21	33
642	32	13	22
643	31	11	21
644	5	21	33
645	19	28	10
646	10	19	32
647	20	29	10
648	28	19	10
649	12	31	21
650	19	28	9
651	7	35	22
652	20	31	11
653	19	35	6
654	31	12	21
655	8	24	41
656	11	20	29
657	9	18	28
658	18	8	27
659	19	10	29
660	18	9	27
661	10	29	19
662	28	9	18
663	8	17	29
664	29	10	19
665	12	21	30
666	20	11	29
667	8	17	27
668	19	10	28
669	21	7	35
670	12	21	30
671	11	20	30
672	6	19	35
673	20	6	37
674	38	26	8
675	8	20	35
676	18	27	8
677	52	10	40
678	18	9	27
679	35	7	22
680	6	21	33
681	19	5	30
682	23	8	34
683	8	33	22
684	38	9	23
685	38	24	9
686	7	23	34
687	20	35	7
688	29	19	10
689	31	21	12
690	9	27	18
691	10	26	37
692	23	8	34
693	20	29	10
694	7	36	21
695	22	38	9
696	21	6	36
697	34	6	20
698	33	18	5
699	21	32	6
700	20	31	7
701	7	35	19
702	5	22	33
703	31	11	21
704	12	21	31
705	9	38	25
706	9	24	34
707	6	22	33
708	9	18	28
709	9	18	28
710	11	20	30
711	9	18	28
712	9	18	28
713	10	19	29
714	22	12	31
715	21	30	12
716	29	18	7
717	31	12	21
718	34	6	23
719	11	30	20
720	20	11	31
721	33	8	23
722	33	8	23
723	6	34	18
724	13	31	22
725	9	27	18
726	20	11	32
727	38	22	8
728	10	19	29
729	21	36	9
730	31	11	21
731	31	21	11
732	21	7	32
733	6	39	23
734	18	9	27
735	30	21	11
736	9	18	28
737	27	5	17
738	35	25	7
739	19	28	10
740	30	11	20
741	28	19	9
742	9	18	32
743	21	8	31
744	5	20	30
745	30	20	11
746	30	9	20
747	16	4	27
748	20	7	31
749	30	11	20
750	30	11	20
751	41	8	27
752	28	9	18
753	5	20	34
754	28	19	9
755	28	9	18
756	7	39	23
757	22	31	12
758	11	20	30
759	12	21	30
760	7	19	36
761	24	14	87
762	38	23	10
763	20	11	29
764	20	29	10
765	11	20	29
766	39	9	23
767	28	9	18
768	21	12	30
769	85	11	20
770	7	33	23
771	9	18	28
772	10	30	19
773	11	30	20
774	23	8	35
775	7	30	19
776	28	8	18
777	11	29	20
778	18	27	9
779	6	22	33
780	28	19	9
781	18	5	31
782	19	28	9
783	35	23	8
784	11	30	20
785	8	23	33
786	11	19	29
787	18	28	7
788	21	30	12
789	8	21	38
790	28	9	18
791	8	27	17
792	8	22	32
793	22	32	12
794	24	7	40
795	6	33	18
796	8	31	20
797	29	5	18
798	12	30	21
799	39	24	7
800	11	30	20
801	7	19	30
802	9	34	22
803	21	30	12
804	7	37	23
805	10	19	29
806	20	6	34
807	20	10	29
808	21	6	34
809	29	20	10
810	7	23	37
811	8	26	42
812	36	7	22
813	32	7	22
814	18	9	27
815	18	8	27
816	11	31	20
817	11	30	20
818	9	21	33
819	28	6	18
820	9	18	28
821	9	36	25
822	23	39	8
823	11	30	20
824	20	37	9
825	20	29	11
826	20	28	10
827	10	19	29
828	25	42	9
829	33	22	8
830	19	29	9
831	29	10	19
832	21	6	36
833	11	20	30
834	10	28	18
835	36	24	7
836	21	12	30
837	6	19	34
838	22	42	9
839	11	30	20
840	20	11	29
841	10	26	41
842	29	7	19
843	35	6	25
844	12	31	21
845	7	20	38
846	18	29	6
847	24	6	35
848	11	30	20
849	38	24	9
850	19	10	30
851	30	21	11
852	30	11	20
853	7	34	23
854	6	20	31
855	10	19	29
856	6	39	24
857	9	18	27
858	7	32	22
859	19	28	10
860	19	10	28
861	9	27	43
862	31	11	21
863	7	32	22
864	31	21	12
865	144	12	21
866	22	5	33
867	21	12	30
868	7	31	21
869	22	37	9
870	9	29	45
871	23	35	8
872	30	11	20
873	32	12	22
874	22	8	37
875	20	30	10
876	4	30	20
877	21	11	30
878	10	19	29
879	10	19	30
880	30	17	7
881	19	10	28
882	21	12	79
883	34	18	8
884	26	36	10
885	28	18	5
886	18	9	27
887	30	10	19
888	28	19	9
889	34	23	9
890	28	19	10
891	12	31	21
892	20	11	29
893	9	22	38
894	9	35	24
895	20	29	11
896	31	12	21
897	11	30	20
898	21	30	12
899	5	23	35
900	35	23	7
901	11	20	30
902	22	13	34
903	10	19	30
904	10	19	29
905	31	22	12
906	20	11	29
907	19	10	28
908	21	30	12
909	12	31	21
910	30	21	12
911	19	28	10
912	30	11	20
913	9	17	27
914	12	31	21
915	8	23	40
916	20	7	35
917	11	31	19
918	7	32	21
919	12	21	31
920	12	31	21
921	20	29	10
922	33	9	23
923	6	41	15
924	28	8	18
925	6	20	36
926	20	7	33
927	36	6	21
928	31	12	21
929	9	28	18
930	30	11	20
931	31	21	7
932	22	38	9
933	22	31	12
934	12	21	31
935	10	29	19
936	9	18	28
937	12	31	21
938	8	30	20
939	33	17	7
940	22	35	6
941	28	9	18
942	20	32	5
943	10	29	19
944	18	34	6
945	32	23	9
946	28	9	18
947	18	27	9
948	36	8	21
949	5	21	30
950	38	22	8
951	22	38	9
952	21	6	33
953	30	9	18
954	5	19	31
955	16	5	32
956	37	9	27
957	21	11	30
958	34	10	24
959	21	36	5
960	12	31	21
961	11	30	20
962	31	12	21
963	19	28	10
964	22	32	12
965	20	8	34
966	9	32	22
967	40	10	25
968	20	11	29
969	34	21	9
970	6	22	33
971	38	8	25
972	31	12	21
973	12	31	21
974	31	21	12
975	11	30	20
976	21	30	11
977	21	30	12
978	19	28	10
979	21	7	33
980	22	37	9
981	9	36	21
982	20	29	10
983	35	21	8
984	21	12	32
985	8	37	24
986	21	12	30
987	32	6	22
988	8	17	27
989	11	30	20
990	12	21	31
991	31	7	21
992	30	7	20
993	18	32	5
994	29	10	19
995	28	9	18
996	12	31	21
997	11	30	20
998	6	32	22
999	35	7	21
